Instance,Horizon,Time Mean,Time StDev,Solving Mean,Solving StDev,Grounding Mean,Grounding StDev
19,15,1.98931,0.13361581402504627,0.71436,0.07607764773472223,1.27495,0.06663368502340224
1,16,3.06404,0.10686930751571702,1.6362700000000001,0.08387723773528198,1.42777,0.04545612936634284
4,17,4.89307,0.5854341953377058,3.33009,0.4081798993115906,1.56298,0.18542318401892782
5,18,4.39263,0.21287738468210027,2.63732,0.16585687391923987,1.75531,0.06260985416357265
16,19,2.92715,0.23081329089228214,0.87508,0.10196322173145857,2.05207,0.13853718131267362
7,20,11.8784,1.7473276970299763,9.6632,1.5577491207612102,2.2152,0.19797984796948453
12,21,5.43018,0.3385767113889399,2.83664,0.24650439051963058,2.59354,0.10603386346832888
8,22,10.91782,0.8673390326600998,8.13432,0.7671821834650898,2.7835,0.11427704241991228
6,23,11.94978,0.9691609260623649,8.74614,0.839129021995757,3.20364,0.14208921084439816
13,24,8.53656,1.180102977187871,5.09636,0.8954542949494599,3.4402,0.2992686033811381
10,25,12.69459,1.7766879929074249,8.70234,1.4207691416762238,3.99225,0.3646562065698306
9,26,8.50608,0.3838439466157247,3.78513,0.260422021714638,4.72095,0.1594159399783846
2,27,14.41297,2.6815655553004363,9.73914,2.1327330927353487,4.67383,0.5543372429206691
3,28,12.25064,0.6979337544900416,6.42974,0.5489574070430918,5.8209,0.1811904796036202
